id;number;episodes;image;viewed_at;series_id
863;1;12;null;2019-04-02 22:00:00+00;308
864;1;13;https://pictures.betaseries.com/fonds/seasons/16147/329096-1.jpg;2020-09-02 22:00:00+00;307
914;1;8;null;2022-08-02 22:00:00+00;336
865;1;10;null;2019-07-02 22:00:00+00;309
988;1;8;https://pictures.betaseries.com/fonds/seasons/27701/637dd90704f91.jpg;2022-12-02 23:00:00+00;371
867;1;6;https://pictures.betaseries.com/fonds/seasons/11456/296550-1-2.jpg;2022-07-02 22:00:00+00;311
869;3;6;https://pictures.betaseries.com/fonds/seasons/11456/5d8b93b02c18d.jpg;2022-07-02 22:00:00+00;311
870;1;51;https://pictures.betaseries.com/fonds/seasons/2214/75579-1-2.jpg;2022-07-02 22:00:00+00;306
874;1;12;null;2022-07-02 22:00:00+00;312
875;2;8;null;2022-07-02 22:00:00+00;312
989;13;8;https://pictures.betaseries.com/fonds/seasons/894/6307c38953730.jpg;2022-12-02 23:00:00+00;24
877;1;51;https://pictures.betaseries.com/fonds/seasons/2214/75579-1-2.jpg;2022-06-02 22:00:00+00;314
878;1;23;https://pictures.betaseries.com/fonds/seasons/8339/279121-1-7.jpg;2022-06-02 22:00:00+00;315
879;1;9;https://pictures.betaseries.com/fonds/seasons/16590/5f3d83b5730c2.jpg;2022-07-02 22:00:00+00;316
880;1;12;null;2022-07-02 22:00:00+00;317
882;1;6;null;2022-07-02 22:00:00+00;319
883;6;20;https://pictures.betaseries.com/fonds/seasons/5517/62016275.jpg;2022-07-02 22:00:00+00;210
884;2;8;null;2022-07-02 22:00:00+00;316
885;2;10;https://pictures.betaseries.com/fonds/seasons/23858/6160a02b2b09b.jpg;2022-07-02 22:00:00+00;87
886;1;3;null;2022-07-02 22:00:00+00;320
888;1;8;https://pictures.betaseries.com/fonds/seasons/23405/62097281.jpg;2022-07-02 22:00:00+00;322
889;1;12;https://pictures.betaseries.com/fonds/seasons/15824/327572-1-3.jpg;2021-09-02 22:00:00+00;178
890;2;12;https://pictures.betaseries.com/fonds/seasons/15824/5c483425740e0.jpg;2021-09-02 22:00:00+00;178
891;1;8;https://pictures.betaseries.com/fonds/seasons/23405/62097281.jpg;2022-07-02 22:00:00+00;324
892;1;14;null;2022-07-02 22:00:00+00;326
893;2;9;null;2022-07-02 22:00:00+00;326
894;1;8;https://pictures.betaseries.com/fonds/seasons/25919/60fee15f7cde2.jpg;2022-07-02 22:00:00+00;147
895;1;8;https://pictures.betaseries.com/fonds/seasons/21569/5d7be3f862f63.jpg;2022-07-02 22:00:00+00;325
992;1;12;null;2022-12-02 23:00:00+00;375
897;1;8;https://pictures.betaseries.com/fonds/seasons/26097/62d40c45adce2.jpg;2022-07-02 22:00:00+00;323
899;1;8;https://pictures.betaseries.com/fonds/seasons/26097/62d40c45adce2.jpg;2022-07-02 22:00:00+00;329
900;1;6;https://pictures.betaseries.com/fonds/seasons/22044/62448b6e59903.jpg;2022-08-02 22:00:00+00;313
901;1;6;https://pictures.betaseries.com/fonds/seasons/22044/62448b6e59903.jpg;2022-08-02 22:00:00+00;330
902;1;8;https://pictures.betaseries.com/fonds/seasons/24223/61f50d0f879c2.jpg;2022-08-02 22:00:00+00;332
903;4;13;https://pictures.betaseries.com/fonds/seasons/10051/62088675.jpg;2022-08-02 22:00:00+00;296
904;1;10;https://pictures.betaseries.com/fonds/seasons/21497/62eddd2eec2e6.jpg;2022-08-02 22:00:00+00;333
906;1;10;https://pictures.betaseries.com/fonds/seasons/21497/62eddd2eec2e6.jpg;2022-08-02 22:00:00+00;334
993;1;12;null;2022-12-02 23:00:00+00;367
994;1;25;https://pictures.betaseries.com/fonds/seasons/15612/326332-1.jpg;2022-12-02 23:00:00+00;377
995;1;24;https://pictures.betaseries.com/fonds/seasons/9437/279831-1-3.jpg;2022-12-02 23:00:00+00;40
996;1;5;null;2022-12-02 23:00:00+00;378
997;1;24;https://pictures.betaseries.com/fonds/seasons/9437/279831-1-3.jpg;2022-12-02 23:00:00+00;379
5;1;35;https://pictures.betaseries.com/fonds/seasons/570/78857-1-2.jpg;2019-10-01 22:00:00+00;2
6;2;48;https://pictures.betaseries.com/fonds/seasons/570/78857-2-2.jpg;2019-10-01 22:00:00+00;2
7;3;48;https://pictures.betaseries.com/fonds/seasons/570/78857-3-2.jpg;2019-10-01 22:00:00+00;2
8;4;48;https://pictures.betaseries.com/fonds/seasons/570/78857-4-2.jpg;2019-10-01 22:00:00+00;2
9;5;41;https://pictures.betaseries.com/fonds/seasons/570/78857-5-2.jpg;2019-10-01 22:00:00+00;2
49;1;23;https://pictures.betaseries.com/fonds/seasons/5010/257655-1-13.jpg;2022-01-01 23:00:00+00;5
50;2;23;https://pictures.betaseries.com/fonds/seasons/5010/5ffa6371bc788.jpg;2022-01-01 23:00:00+00;5
51;3;23;https://pictures.betaseries.com/fonds/seasons/5010/5ffa639381016.jpg;2022-02-01 23:00:00+00;5
52;4;23;https://pictures.betaseries.com/fonds/seasons/5010/5ffa63a982521.jpg;2022-02-01 23:00:00+00;5
53;5;23;https://pictures.betaseries.com/fonds/seasons/5010/5ffa63bfd6469.jpg;2022-02-01 23:00:00+00;5
54;6;23;https://pictures.betaseries.com/fonds/seasons/5010/5ffa63d79a994.jpg;2022-03-01 23:00:00+00;5
55;7;22;https://pictures.betaseries.com/fonds/seasons/5010/5ffa63e7b8a7e.jpg;2022-03-01 23:00:00+00;5
